acronym,id,parent_structure_id
AIp5,344,111
AIp6a,314,111
AIp6b,355,111
AIv,119,95
AIv1,704,119
AIv2/3,694,119
AIv5,800,119
AIv6a,675,119
AIv6b,699,119
RSP,254,315
RSPagl,894,254
RSPagl1,671,894
RSPagl2/3,965,894
RSPagl5,774,894
RSPagl6a,906,894
RSPagl6b,279,894
VISmma,480149258,894
VISmma1,480149262,480149258
VISmma2/3,480149266,480149258
VISmma4,480149270,480149258
VISmma5,480149274,480149258
VISmma6a,480149278,480149258
VISmma6b,480149282,480149258
VISmmp,480149286,894
VISmmp1,480149290,480149286
VISmmp2/3,480149294,480149286
VISmmp4,480149298,480149286
VISmmp5,480149302,480149286
VISmmp6a,480149306,480149286
VISmmp6b,480149310,480149286
VISm,480149314,894
VISm1,480149318,480149314
VISm2/3,480149322,480149314
VISm4,480149326,480149314
VISm5,480149330,480149314
VISm6a,480149334,480149314
VISm6b,480149338,480149314
RSPd,879,254
RSPd1,442,879
RSPd2/3,434,879
RSPd4,545,879
RSPd5,610,879
RSPd6a,274,879
RSPd6b,330,879
RSPv,886,254
RSPv1,542,886
RSPv2,606,886
RSPv2/3,430,886
RSPv5,687,886
RSPv6a,590,886
RSPv6b,622,886
PTLp,22,315
PTLp1,532,22
PTLp2/3,241,22
PTLp4,635,22
PTLp5,683,22
PTLp6a,308,22
PTLp6b,340,22
VISa,312782546,22
VISa1,312782550,312782546
VISa2/3,312782554,312782546
VISa4,312782558,312782546
VISa5,312782562,312782546
VISa6a,312782566,312782546
VISa6b,312782570,312782546
VISrl,417,22
VISrl1,312782604,417
VISrl2/3,312782608,417
VISrl4,312782612,417
VISrl5,312782616,417
VISrl6a,312782620,417
VISrl6b,312782624,417
TEa,541,315
TEa1,97,541
TEa2/3,1127,541
TEa4,234,541
TEa5,289,541
TEa6a,729,541
TEa6b,786,541
PERI,922,315
PERI6a,335,922
PERI6b,368,922
PERI1,540,922
PERI5,692,922
PERI2/3,888,922
ECT,895,315
ECT1,836,895
ECT2/3,427,895
ECT5,988,895
ECT6a,977,895
ECT6b,1045,895
OLF,698,695
MOB,507,698
MOBgl,212,507
MOBgr,220,507
MOBipl,228,507
MOBmi,236,507
MOBopl,244,507
AOB,151,698
AOBgl,188,151
AOBgr,196,151
AOBmi,204,151
AON,159,698
AONd,167,159
AONe,175,159
AONl,183,159
AONm,191,159
AONpv,199,159
AON1,160,159
AON2,168,159
TT,589,698
TTd,597,589
TTd1-4,297,597
TTd1,1034,597
TTd2,1042,597
TTd3,1050,597
TTd4,1059,597
TTv,605,589
TTv1-3,306,605
TTv1,1067,605
TTv2,1075,605
TTv3,1082,605
DP0,814,698
DP01,496,814
