acronym,id,parent_structure_id
RSPd,879,879
RSPd,442,879
RSPd,434,879
RSPd,545,879
RSPd,610,879
RSPd,274,879
RSPd,330,879
RSPv,886,886
RSPv,542,886
RSPv,606,886
RSPv,430,886
RSPv,687,886
RSPv,590,886
RSPv,622,886
PTLp,22,22
PTLp,532,22
PTLp,241,22
PTLp,635,22
PTLp,683,22
PTLp,308,22
PTLp,340,22
VISa,312782546,22
VISa1,312782550,312782546
VISa2/3,312782554,312782546
VISa4,312782558,312782546
VISa5,312782562,312782546
VISa6a,312782566,312782546
VISa6b,312782570,312782546
VISrl,417,22
VISrl1,312782604,417
VISrl2/3,312782608,417
VISrl4,312782612,417
VISrl5,312782616,417
VISrl6a,312782620,417
VISrl6b,312782624,417
TEa,541,541
TEa,97,541
TEa,1127,541
TEa,234,541
TEa,289,541
TEa,729,541
TEa,786,541
PERI,922,922
PERI,335,922
PERI,368,922
PERI,540,922
PERI,692,922
PERI,888,922
ECT,895,895
ECT,836,895
ECT,427,895
ECT,988,895
ECT,977,895
ECT,1045,895
OLF,698,695
MOB,507,507
MOB,212,507
MOB,220,507
MOB,228,507
MOB,236,507
MOB,244,507
AOB,151,151
AOB,188,151
AOB,196,151
AOB,204,151
AON,159,159
AON,167,159
AON,175,159
AON,183,159
AON,191,159
AON,199,159
AON,160,159
AON,168,159
TT,589,589
TT,597,589
TT,297,589
TT,1034,589
TT,1042,589
TT,1050,589
TT,1059,589
TT,605,589
TT,306,589
TT,1067,589
TT,1075,589
TT,1082,589
DP0,814,814
DP0,496,814
DP0,535,814
DP0,360,814
DP0,646,814
DP0,267,814
PIR,961,961
PIR,152,961
PIR,276,961
PIR,284,961
PIR,291,961
NLOT,619,619
NLOT,392,619
NLOT,260,619
NLOT,268,619
NLOT,1139,619
COA,631,698
COAa,639,639
COAa,192,639
COAa,200,639
COAa,208,639
COAp,647,647
COAp,655,647
COAp,584,647
COAp,376,647
COAp,216,647
COAp,224,647
COAp,232,647
COAp,663,647
COAp,592,647
COAp,383,647
COAp,240,647
COAp,248,647
COAp,256,647
PAA,788,788
PAA,400,788
PAA,408,788
PAA,416,788
PAA,424,788
TR,566,566
TR,517,566
TR,1140,566
TR,1141,566
TR,1142,566
PF,1089,930
IP,1080,91
CA,375,1080
CA1,382,382
CA1,391,382
CA1,399,382
CA1,407,382
CA1,415,382
CA2,423,423
CA2,431,423
CA2,438,423
CA2,446,423
CA2,454,423
CA3,463,463
CA3,471,463
CA3,479,463
CA3,486,463
CA3,495,463
CA3,504,463
DG,726,726
DG,10703,726
DG,10704,726
DG,632,726
DG,10702,726
DG,734,726
DG,742,726
DG,751,726
DG,758,726
DG,766,726
DG,775,726
DG,782,726
DG,790,726
DG,799,726
DG,807,726
DG,815,726
DG,823,726
FC,982,982
IG,19,19
RHP,822,1089
ENT,909,822
ENTl,918,918
ENTl,1121,918
ENTl,20,918
ENTl,999,918
ENTl,715,918
ENTl,764,918
ENTl,52,918
ENTl,92,918
ENTl,312,918
ENTl,139,918
ENTl,387,918
ENTl,28,918
ENTl,60,918
ENTm,926,926
ENTm,526,926
ENTm,543,926
ENTm,468,926
ENTm,508,926
ENTm,664,926
ENTm,712,926
ENTm,727,926
ENTm,550,926
ENTm,743,926
ENTmv,934,934
ENTmv,259,934
ENTmv,324,934
ENTmv,371,934
ENTmv,419,934
ENTmv,1133,934
PAR,843,843
PAR,10693,843
PAR,10694,843
PAR,10695,843
POST,1037,1037
POST,10696,1037
POST,10697,1037
POST,10698,1037
PRE,1084,1084
